Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Total   
74       0.66     10.84    289.07   -391.28  -82.03   -241.07  0.00     0.00     0.00     -15.21   0.00     0.00     -440.52 
75       0.50     11.21    297.71   -404.28  -77.37   -226.70  0.00     0.00     0.00     -16.95   -0.00    0.00     -427.59 
76       0.61     10.84    292.26   -407.71  -75.84   -233.56  0.00     0.00     0.00     -19.82   -0.00    0.00     -444.66 
77       0.57     11.26    321.22   -398.86  -71.00   -240.16  0.00     0.00     0.00     -17.80   0.00     0.00     -406.60 
78       0.49     10.94    293.96   -422.51  -75.27   -224.39  0.00     0.00     0.00     -17.61   0.00     0.00     -445.82 
79       0.57     10.63    307.62   -398.14  -77.62   -241.67  0.00     0.00     0.00     -16.55   0.00     0.00     -426.36 
80       0.58     10.67    302.87   -409.83  -77.93   -245.30  0.00     0.00     0.00     -18.97   -0.00    0.00     -449.15 
81       0.51     10.74    305.57   -414.84  -81.19   -239.49  0.00     0.00     0.00     -16.89   -0.00    0.00     -446.84 
82       0.55     10.74    296.72   -413.64  -74.06   -248.92  0.00     0.00     0.00     -17.04   0.00     0.00     -456.95 
83       0.53     10.23    298.68   -428.35  -81.70   -249.20  0.00     0.00     0.00     -19.03   -0.00    0.00     -479.60 
84       0.56     10.63    271.71   -429.72  -73.68   -253.64  0.00     0.00     0.00     -20.18   0.00     0.00     -505.52 
85       0.51     10.08    274.82   -400.33  -79.11   -250.07  0.00     0.00     0.00     -18.98   0.00     0.00     -473.68 
86       0.55     10.55    300.66   -425.72  -72.12   -235.29  0.00     0.00     0.00     -16.06   0.00     0.00     -448.52 
87       0.48     10.67    317.11   -426.39  -83.47   -237.08  0.00     0.00     0.00     -17.06   0.00     0.00     -446.90 
88       0.53     10.48    271.39   -417.70  -81.27   -241.86  0.00     0.00     0.00     -18.14   -0.00    0.00     -487.58 
89       0.47     11.22    271.91   -417.34  -70.63   -237.25  0.00     0.00     0.00     -18.08   0.00     0.00     -471.39 
90       0.50     10.68    275.94   -404.34  -75.58   -236.47  0.00     0.00     0.00     -20.09   0.00     0.00     -460.55 
91       0.44     10.95    288.46   -438.29  -76.93   -239.95  0.00     0.00     0.00     -20.90   0.00     0.00     -487.61 
92       0.48     11.10    278.40   -439.71  -74.94   -238.49  0.00     0.00     0.00     -17.78   0.00     0.00     -492.51 
93       0.45     10.94    286.92   -418.53  -76.14   -251.72  0.00     0.00     0.00     -17.55   0.00     0.00     -477.01 
94       0.43     11.59    248.76   -411.55  -69.64   -247.00  0.00     0.00     0.00     -17.54   0.00     0.00     -496.97 
95       0.53     11.05    303.99   -395.54  -67.08   -244.68  0.00     0.00     0.00     -18.67   0.00     0.00     -421.97 
96       0.52     10.20    269.14   -411.40  -81.02   -239.46  0.00     0.00     0.00     -17.91   0.00     0.00     -480.64 
97       0.57     10.33    252.77   -424.63  -83.82   -244.72  0.00     0.00     0.00     -19.90   0.00     0.00     -520.30 
98       0.49     10.70    274.31   -426.16  -78.13   -238.48  0.00     0.00     0.00     -16.48   0.00     0.00     -484.93 
